USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  24728 15580 ?        Ss   11:23   0:09 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    11:23   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    11:23   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    11:23   0:01 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    11:23   1:12 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    11:23   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          17  0.0  0.0      0     0 ?        S    11:23   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    11:23   0:01 [migration/0]
root          19  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    11:23   0:01 [migration/2]
root          24  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    11:23   0:01 [migration/4]
root          30  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    11:23   0:01 [migration/6]
root          36  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    11:23   0:10 [migration/8]
root          42  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/9]
root          46  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/9]
root          47  0.0  0.0      0     0 ?        S    11:23   0:06 [migration/9]
root          48  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/9]
root          50  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/9:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/10]
root          52  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/10]
root          53  0.0  0.0      0     0 ?        S    11:23   0:04 [migration/10]
root          54  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/10]
root          56  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/10:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/11]
root          58  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/11]
root          59  0.0  0.0      0     0 ?        S    11:23   0:04 [migration/11]
root          60  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/11]
root          62  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/11:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/1]
root          64  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/1]
root          65  0.0  0.0      0     0 ?        S    11:23   0:00 [migration/1]
root          66  0.0  0.0      0     0 ?        S    11:23   0:01 [ksoftirqd/1]
root          68  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/1:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/3]
root          70  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/3]
root          71  0.0  0.0      0     0 ?        S    11:23   0:00 [migration/3]
root          72  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/3]
root          74  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/3:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/5]
root          76  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/5]
root          77  0.0  0.0      0     0 ?        S    11:23   0:00 [migration/5]
root          78  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/5]
root          80  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/5:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    11:23   0:00 [cpuhp/7]
root          82  0.0  0.0      0     0 ?        S    11:23   0:00 [idle_inject/7]
root          83  0.0  0.0      0     0 ?        S    11:23   0:00 [migration/7]
root          84  0.0  0.0      0     0 ?        S    11:23   0:00 [ksoftirqd/7]
root          86  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/7:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    11:23   0:00 [kdevtmpfs]
root          88  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-inet_frag_wq]
root          89  0.0  0.0      0     0 ?        I    11:23   0:00 [rcu_tasks_kthread]
root          90  0.0  0.0      0     0 ?        I    11:23   0:00 [rcu_tasks_rude_kthread]
root          91  0.0  0.0      0     0 ?        I    11:23   0:00 [rcu_tasks_trace_kthread]
root          92  0.0  0.0      0     0 ?        S    11:23   0:00 [kauditd]
root          93  0.0  0.0      0     0 ?        S    11:23   0:00 [khungtaskd]
root          94  0.0  0.0      0     0 ?        S    11:23   0:00 [oom_reaper]
root          97  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-writeback]
root          98  0.0  0.0      0     0 ?        S    11:23   0:01 [kcompactd0]
root          99  0.0  0.0      0     0 ?        SN   11:23   0:00 [ksmd]
root         100  0.0  0.0      0     0 ?        SN   11:23   0:00 [khugepaged]
root         101  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-kblockd]
root         102  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-blkcg_punt_bio]
